row,stu num,riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel-T4,sex
191,9017050124,8.0,10.5,8.0,11.5,12.0,16.5,10.0,11.5,15.0,10.0,18.5,15.75,14.0,13.5,16.0,14.5,10.0,15.0,14.0,14.25,13.51,m
192,9017050125,12.0,15.25,10.0,20.0,11.75,13.0,16.35,15.5,12.6,10.35,14.25,12.25,17.6,13.5,18.0,17.75,14.77,14.0,14.5,15.5,15.22,f
193,9017050126,13.5,18.5,10.5,12.5,9.0,11.0,11.95,10.0,12.4,10.55,9.0,13.5,11.8,17.25,17.0,16.0,12.13,15.5,16.0,15.0,13.95,m
194,9017050127,10.0,12.0,16.0,16.5,10.0,14.0,20.0,9.75,8.9,17.64,10.5,13.0,16.5,14.75,14.0,18.5,10.74,17.25,15.5,17.25,14.52,m
195,9017050128,12.0,14.25,11.0,13.0,9.0,12.0,18.75,11.5,8.7,14.88,10.0,12.75,17.0,14.75,17.0,16.0,13.31,15.0,11.0,14.75,13.9,m
196,9017050129,14.5,16.0,10.75,20.0,14.0,14.0,16.95,20.0,19.0,10.0,17.0,19.75,18.0,19.75,17.5,19.25,12.52,16.25,15.0,19.0,16.76,f
197,9017050130,12.0,13.5,20.0,15.5,10.0,20.0,17.29,11.0,18.0,15.23,15.5,15.5,12.9,16.75,17.0,18.75,11.09,17.25,18.5,18.75,15.77,m
198,9017050131,11.0,18.0,9.0,19.5,13.0,14.0,14.0,10.0,15.4,10.42,9.0,16.25,15.6,17.25,17.0,18.0,12.36,14.5,16.5,16.25,15.22,f
199,9017050132,20.0,14.0,18.5,14.75,16.25,17.25,13.75,16.25,15.0,9.8,17.3,18.0,14.5,15.25,18.5,15.25,12.77,13.75,12.75,18.0,15.37,f
200,9017050133,12.5,15.25,11.5,17.0,10.0,13.0,12.36,15.25,11.4,10.0,12.0,14.0,16.0,15.25,18.0,17.5,12.02,15.25,15.0,14.5,14.78,f
201,9017050134,15.0,15.75,9.0,19.0,9.0,14.0,13.5,12.5,13.4,9.75,10.0,17.0,15.2,16.0,15.0,16.0,10.0,15.0,16.0,15.5,14.06,f
202,9017050135,11.0,15.75,10.0,15.5,9.0,10.0,9.51,10.5,15.2,9.9,9.0,12.0,12.1,14.25,13.0,15.75,10.0,14.25,13.0,16.0,13.19,m
203,9017050136,8.0,10.5,11.0,10.5,12.0,10.0,10.88,11.85,14.0,9.72,10.0,16.5,10.0,15.75,16.0,15.0,9.95,14.0,15.0,16.0,13.05,m
204,9017050138,8.0,6.0,10.0,7.0,10.25,11.25,14.0,9.75,10.0,14.59,13.25,13.5,10.0,10.5,10.0,11.75,10.0,11.75,13.0,11.5,12.09,m
205,9017050139,8.0,11.0,11.0,15.5,9.0,10.0,10.0,13.25,14.0,9.6,6.25,14.5,12.5,13.0,16.5,12.5,12.75,13.0,11.5,10.0,12.57,m
206,9017050201,18.0,14.5,13.95,19.0,15.0,11.0,9.75,15.5,15.0,10.42,16.25,18.5,16.0,14.25,16.0,10.0,8.0,12.25,14.0,15.5,14.74,m
207,9017050202,10.0,11.0,10.3,15.0,8.0,14.0,9.59,11.0,9.0,9.73,16.75,15.5,16.75,12.5,14.5,9.5,9.58,11.5,11.0,13.75,13.04,f
208,9017050203,12.7,12.0,11.1,14.5,10.0,15.0,10.35,16.5,10.4,11.47,18.0,14.25,11.0,16.75,14.0,9.0,10.0,14.5,11.0,15.25,13.96,f
